,model,eval ds,accuracy,precision,recall,iou,area_fractional_error
0,baseline,fr,0.5654,0.9618644073182994,0.1362000017276,0.06102155351183272,-0.734853832972479
1,baseline,us,0.9976363636363637,0.951263538345997,0.8632268643470363,0.5059660403208698,-0.08026312726169547
2,ft_100,fr,0.8727,0.8084754182941973,0.9768000000464,0.307018260908138,0.020083498814398384
3,ft_100,us,0.8860106951871658,0.09051462371733522,0.8542178554118112,0.025629459463034146,0.6892052640063953
4,ft_500,fr,0.9542,0.9498811411452434,0.959000000082,0.39965859675760235,0.0651601499317459
5,ft_500,us,0.975807486631016,0.32457027527950694,0.7886977904283555,0.10033769611440664,-0.2973354054819135
6,ft_1000,fr,0.9693,0.9598275524988682,0.9796000000408,0.1608312974704447,-0.04956168696260418
7,ft_1000,us,0.9258181818181819,0.12495078209089017,0.7796887814931304,0.013170351780043311,0.014345443503987993
8,ft_5000,fr,0.9709,0.9606730581869046,0.982000000036,0.3764063666608039,-0.04362987094240095
9,ft_5000,us,0.9456256684491978,0.1560106871664992,0.7174447197588475,0.061398888213205126,0.6211195083029265
